        1.66914 ;       -0.273576 ;        -0.50082
        2.16067 ;         -1.2603 ;       -0.241713
     -0.0589098 ;        -1.18629 ;       -0.885468
       0.549908 ;       -0.244087 ;       -0.838707
       0.924854 ;       -0.581939 ;         1.50776
       0.502835 ;         -1.2193 ;         1.24154
       0.585162 ;       -0.933421 ;        -1.85123
       0.330694 ;        0.484453 ;        -1.59496
       0.895071 ;      -0.0973647 ;         1.12061
      -0.845456 ;        -1.04734 ;         1.04858
       -1.70186 ;         0.61642 ;         1.27361
      -0.857202 ;        0.246882 ;         2.90535
       0.542603 ;        0.329399 ;        0.710839
      -0.573666 ;         1.24556 ;         1.21806
      -0.232481 ;        -1.57565 ;       -0.408359
       -1.70124 ;        -1.11946 ;        -1.30918
         0.3747 ;        0.425911 ;         0.16945
        0.28457 ;      -0.0938739 ;         1.08639
      -0.609852 ;        -1.61389 ;         2.51201
      -0.849074 ;        0.320783 ;         2.34352
        1.36677 ;       -0.296988 ;         2.18665
        1.88391 ;         0.18953 ;         1.87727
